"Code","Country","P_falciparum_Malaria_Incidence_Per_10k.sum","Dengue_Incidence_Per_10k.sum","Cutaneous_Leishmaniasis_Incidence_Per_10k.sum","Pasture_Mosaic_Area_ha_delta","Forest_Pasture_Mosaic_delta","area_mn_pasture_mosaic_delta","Agriculture_Area_ha_delta","Forest_Agriculture_delta","area_mn_agriculture_delta"
1200054,"Brazil",1.80551680971552,3047.86950367258,1856.23930281417,11540.34,26122,6.18996719055663,2.42999999999995,8,0.098974358974359
1200104,"Brazil",1.51768730739534,2179.03991982164,525.486404703772,40621.14,71760,7.9297042242556,7.74,0,0.9675
1200138,"Brazil",324.4997259094,96.6617347877927,374.548660731337,21419.46,42169,-15.8128433650355,6.56999999999997,0,2.19
1200179,"Brazil",124.522008045433,1247.48209554482,830.502468134931,20776.05,35330,25.7968642815807,423.809999999999,0,10.8202702702703
1200203,"Brazil",6029.19382941928,5082.23560372527,95.4439387897615,23050.98,85355,0.776919553733201,2.43,0,0.81
1200252,"Brazil",1.05529453684364,725.057567512274,597.862664334227,15436.89,17253,17.8883436318682,0,0,0
1200302,"Brazil",2.47384144885137,579.21769316257,236.273526344135,57807.09,221582,1.4207620511473,0,0,0
1200328,"Brazil",122.358580654084,17.3687559131501,472.580398137578,5025.24000000002,29297,0.82195935089717,0,0,0
1200336,"Brazil",9293.08681089851,784.963862022821,328.884354203344,10289.79,35642,0.9781232999496,1.8,0,0.6
1200344,"Brazil",4.10033272569366,466.049031271738,473.725043024487,32027.4899999999,98002,5.8102284270948,8.64,3,0.664615384615385
1200351,"Brazil",249.586802303493,629.436440138257,388.686130724747,13375.53,69813,1.86038666984927,72.0000000000001,500,0.70865425531915
1200385,"Brazil",225.912410169489,662.178850540662,317.90568559735,5804.37,-14119,2.97809216350302,493.379999999999,19,1.77243243243243
1200393,"Brazil",1334.47820390219,95.1293327472102,249.248167027098,10888.92,39782,3.18078252856198,0,0,0
1200401,"Brazil",7.4061583625667,3380.28074813759,136.059698208781,62574.48,121056,-4.1703378202046,712.17,17,-0.227948717948701
1200427,"Brazil",13346.7787745795,991.799440283423,88.5989379611515,13391.5500000001,27249,6.3366971129717,0,0,0
1200435,"Brazil",4.48530666305497,33.2733607867369,531.167860430667,3816.98999999998,13376,1.57869959837483,27,86,0.76896923076923
1200450,"Brazil",240.084272925282,195.06452763504,75.4858852131024,3216.23999999999,-3612,20.133529575531,332.64,-1,0.22721354546781
1200500,"Brazil",1.82546102573095,673.376746363533,432.216886135236,85423.95,183970,9.5330104335142,12.87,48,-0.087631578947368
